9928!=1239@SQLi Keys,,
abc'@SQLi Keys,,
"abc""@SQLi Keys",,
or@SQLi Keys,,
and@SQLi Keys,,
''@SQLi Keys,,
'abc'@SQLi Keys,,
abc' --@SQLi Keys,,
=@SQLi Keys,,
>=@SQLi Keys,,
<=@SQLi Keys,,
between@SQLi Keys,,
like@SQLi Keys,,
order@SQLi Keys,,
by@SQLi Keys,,
ORDER/**/BY@SQLi Keys,,
having@SQLi Keys,,
||@SQLi Keys,,
&&@SQLi Keys,,
#@SQLi Keys,,
/*@SQLi Keys,,
union@SQLi Keys,,
uNioN@SQLi Keys,,
uN/**/ioN@SQLi Keys,,
select@SQLi Keys,,
seLeCt@SQLi Keys,,
seL/**/eCt@SQLi Keys,,
union select@SQLi Keys,,
union/**/select@SQLi Keys,,
uNion(sElect)@SQLi Keys,,
union all select@SQLi Keys,,
union/**/all/**/select@SQLi Keys,,
uNion all(sElect)@SQLi Keys,,
insert@SQLi Keys,,
values@SQLi Keys,,
update@SQLi Keys,,
delete@SQLi Keys,,
waitfor()@SQLi Keys,,
waitfor@SQLi Keys,,
sleep(2)@SQLi Keys,,
WAITFOR DELAY@SQLi Keys,,
benchmark()@SQLi Keys,,
information_schema@SQLi Keys,,
table_name@SQLi Keys,,
column_name@SQLi Keys,,
if@SQLi Keys,,
else@SQLi Keys,,
IF() select@SQLi Keys,,
case()@SQLi Keys,,
limit@SQLi Keys,,
char()@SQLi Keys,,
cast()@SQLi Keys,,
convert()@SQLi Keys,,
isnull()@SQLi Keys,,
substring()@SQLi Keys,,
concat()@SQLi Keys,,
hex()@SQLi Keys,,
unhex()@SQLi Keys,,
avg()@SQLi Keys,,
count()@SQLi Keys,,
min()@SQLi Keys,,
sum()@SQLi Keys,,
JOIN@SQLi Keys,,
@@version@SQLi Keys,,
user@SQLi Keys,,
drop@SQLi Keys,,
load_file()@SQLi Keys,,
extractvalue()@SQLi Keys,,
0x633A5C626F6F742E696E69@SQLi Keys,,
%55nion(%53elect 1,2,3)@SQLi Keys
uni%0bon+se%0blect@SQLi Keys,,
REVERSE(noinu) REVERSE(tceles)@SQLi Keys,,
/*--*/union/*--*/select/*--*/@SQLi Keys,,
union distinct select@SQLi Keys,,
niOn distiNct sElect@SQLi Keys,,
<!--@SQLi Keys,,
information_schema.tables@SQLi Keys,,
information_schema.columns@SQLi Keys,,
user()@SQLi Keys,,
system_user()@SQLi Keys,,
information_schema.schemata@SQLi Keys,,
table_schema@SQLi Keys,,
offset@SQLi Keys,,
distinct@SQLi Keys,,
@@hostname@SQLi Keys,,
@@datadir@SQLi Keys,,
version()@SQLi Keys,,
exec()@SQLi Keys,,
